Norweger
Finne
Däne
US-Amerikaner
Deutscher
Afghane
Usbeke
Schweizer
Österreicher
Brite
Ägypter
Albaner
Algerier
Andorraner
Angolaner
Antiguaner
Äquatorialguineer
Argentinier
Aserbaidschaner
Äthiopier
Bahamaer
Bahrainer
Barbadier
Belgier
Beniner
Bhutaner
Bolivianer
Bosnier
Brasilianer
Bulgare
Burkiner
Burundier
Chilene
Chinese
Costa-Ricaner
Ivorer
Dominicaner
Dschibutier
Ecuadorianer
Salvadorianer
Eritreer
Este
Fidschianer
Franzose
Gabuner
Gambier
Georgier
Ghanaer
Grenader
Guatemalteke
Guineer
Guinea-Bissauer
Haitianer
Honduraner
Inder
Indonesier
Iraker
Iraner
Ire
Isländer
Israeli
Italiener
Jamaikaner
Japaner
Jemenit
Jordanier
Schwede
Türke
Litauer
Nigerianer
Russe
Kambodschaner
Kameruner
Kanadier
Kapverdier
Kasache
Katarer
Kenianer
Kirgise
Kiribatier
Kolumbianer
Komorer
Ungar
Australier
Pole
Kroate
Kubaner
Kuwaiter
Laote
Lesother
Lette
Libanese
Liberianer
Libyer
Liechtensteiner
Luxemburger
Madagasse
Malawier
Malaysier
Malediver
Malier
Malteser
Marokkaner
Marshaller
Mauretanier
Mauritier
Mexikaner
Mikronesier
Monegasse
Mongole
Mosambikaner
Myanmare
Namibier
Nauruer
Nepalese
Neuseeländer
Nicaraguaner
Niederländer
Nigrer
Omaner
Pakistaner
Panamaer
Papua-Neuguineer
Paraguayer
Peruaner
Philippiner
Portugiese
Ruander
Rumäne
Salomoner
Sambier
Samoaner
Saudi-Araber
Senegalese
Serbe
Montenegriner
Seycheller
Sierra-Leoner
São-Toméer
Simbabwer
Singapurer
Slowake
Slowene
Somalier
Sri-Lanker
Lucianer
Vincenter
Südafrikaner
Sudanese
Surinamer
Swasi
Syrer
Tadschike
Tansanier
Thailänder
Tschader
Tscheche
Tunesier
Turkmene
Tuvaluer
Ugander
Ukrainer
Uruguayer
Vanuatuer
Venezolaner
Vietnamese
Zentralafrikaner
Spanier
Römer
Palästinenser
Färinger
Zyprer
Armenier
San-Marinese
Moldauer
Belarusse
Nordkoreaner
Südkoreaner
Guyaner
Sowjetbürger
Jugoslawe
Tongaer
Grönländer
Bangladescher
Kuschiter
Togoer
Chinese_(Hongkong)
Tschechoslowake
Danziger
Belizer
Taiwaner
Kosovare
Palauer
Osttimorese
Bruneier
Staatenloser
Person_nach_historischer_Staatsangehörigkeit
Südsudanese
DDR-Bürger
Grieche
Botswaner
Preuße
Württemberger
Bermuder
Staatsangehörigkeit_unbekannt
Kongolese_(Demokratische_Republik_Kongo)
Staatsangehöriger_der_Vereinigten_Arabischen_Emirate
Kongolese_(Republik_Kongo)
Staatsangehöriger_von_St._Kitts_und_Nevis
Staatsangehöriger_von_Trinidad_und_Tobago
Dominikaner_(Staatsangehöriger)
Badener
Chinese_(Macau)
Vatikanbürger
Nordmazedonier
Anhalter
Person_(Anhalt_bis_1863)
