5322 Krossneset;4631 Alver;492;;0,53;;929
5323 Holme;4631 Alver;941;;0,57;;1 655
5324 Dalemarka;4631 Alver;226;;0,08;;2 887
5325 Moldekleiv;4631 Alver;596;;0,33;;1 784
5326 Vikebø;4631 Alver;332;;0,39;;843
5332 Vikavågen;4626 Øygarden;639;;0,47;;1 353
5333 Torsteinsvik;4626 Øygarden;1 782;;1,39;;1 281
5334 Rossnes;4626 Øygarden;357;;0,33;;1 082
5335 Blomvåg;4626 Øygarden;524;;0,64;;819
5342 Flesland;4601 Bergen;359;;0,42;;851
5343 Krokeidet;4601 Bergen;393;;0,54;;725
5344 Hordnes;4601 Bergen;347;;0,31;;1 136
5351 Li;4626 Øygarden;418;;0,37;;1 132
5352 Knarrevik/Straume;4626 Øygarden;11 871;;7,50;;1 583
5353 Misje;4626 Øygarden;304;;0,24;;1 246
5354 Fjell;4626 Øygarden;481;;0,38;;1 278
5356 Sekkingstad;4626 Øygarden;661;;0,61;;1 092
5357 Haganes;4626 Øygarden;295;;0,23;;1 259
5358 Anglavika;4626 Øygarden;362;;0,26;;1 399
5361 Eidsvik;4617 Kvinnherad;459;;0,47;;984
5501 Florø;4602 Kinn;8 917;;6,82;;1 307
5502 Brandsøy;4602 Kinn;698;;0,51;;1 367
5503 Eikefjord;4602 Kinn;414;;0,39;;1 072
5511 Byrknes;4635 Gulen;287;;0,50;;579
5512 Eivindvik;4635 Gulen;317;;0,37;;866
5523 Austreim;4638 Høyanger;358;;0,35;;1 008
5524 Kyrkjebø;4638 Høyanger;257;;0,28;;915
5526 Høyanger;4638 Høyanger;1 983;;1,28;;1 546
5531 Viksøyri;4639 Vik;1 217;;1,37;;885
5541 Balestrand;4640 Sogndal;800;;1,11;;722
5553 Hermansverk/Leikanger;4640 Sogndal;2 175;;1,94;;1 121
5561 Sogndalsfjøra;4640 Sogndal;4 195;;2,06;;2 038
5562 Kaupanger;4640 Sogndal;1 032;;1,05;;982
5563 Kjørnes;4640 Sogndal;857;;0,42;;2 046
5571 Aurlandsvangen;4641 Aurland;811;;0,63;;1 280
5581 Lærdalsøyri;4642 Lærdal;1 134;;1,00;;1 131
5591 ØvreÅrdal;4643 Årdal;3 075;;1,85;;1 666
5592 Årdalstangen;4643 Årdal;1 370;;1,18;;1 160
5593 Seimsdalen;4643 Årdal;403;;0,29;;1 410
5601 Gaupne;4644 Luster;1 233;;1,48;;831
5604 Hafslo;4644 Luster;1 090;;1,02;;1 068
5611 Askvoll;4645 Askvoll;718;;0,70;;1 027
5622 Dale;4646 Fjaler;1 184;;1,11;;1 063
5623 Flekke;4646 Fjaler;280;;0,11;;2 601
5631 Sande;4647 Sunnfjord;915;;0,69;;1 319
5641 Langhaugane;4647 Sunnfjord;820;;0,55;;1 482
5642 Vassenden;4647 Sunnfjord;331;;0,39;;854
5643 Skei;4647 Sunnfjord;483;;0,54;;902
5651 Førde;4647 Sunnfjord;10 451;;5,54;;1 886
5652 Farsund;4647 Sunnfjord;771;;0,38;;2 008
5661 Naustdal;4647 Sunnfjord;1 202;;0,73;;1 638
5671 Svelgen;4648 Bremanger;1 144;;1,00;;1 145
5672 Kalvåg;4648 Bremanger;430;;0,42;;1 027
5673 Bremanger;4648 Bremanger;367;;0,61;;606
5681 Raudeberg;4602 Kinn;585;;0,66;;886
5682 Måløy;4602 Kinn;3 293;;2,19;;1 503
5684 Holevik;4602 Kinn;290;;0,18;;1 583
5686 Bryggja;4649 Stad;331;;0,42;;797
5691 Selje;4649 Stad;710;;0,80;;882
5701 Nordfjordeid;4649 Stad;3 130;;2,47;;1 268
5702 Mogrenda;4649 Stad;361;;0,30;;1 201
5703 Torvika;4649 Stad;230;;0,25;;923
5711 Grodås;1577 Volda;490;;0,64;;771
5721 Sandane;4650 Gloppen;2 484;;2,39;;1 039
5722 Byrkjelo;4650 Gloppen;322;;0,51;;637
5723 Re;4650 Gloppen;374;;0,43;;870
5731 Stryn;4651 Stryn;2 530;;1,92;;1 318
5732 Innvik;4651 Stryn;444;;0,70;;637
5733 Olden;4651 Stryn;490;;0,57;;857
5741 Hardbakke;4636 Solund;319;;0,28;;1 137
6001 Molde;1506 Molde;21 215;;9,25;;2 294
6002 Hjelset;1506 Molde;723;;0,58;;1 241
6003 Kleive;1506 Molde;430;;0,49;;869
6004 Hovdenakken;1506 Molde;324;;0,28;;1 162
6005 Nesjestranda;1506 Molde;549;;0,44;;1 237
6008 Torhaug;1506 Molde;255;;0,16;;1 614
6009 Hesthagen;1506 Molde;243;;0,10;;2 443
6011 Kristiansund;1505 Kristiansund;18 160;;8,30;;2 188
6012 Geitnes;1506 Molde;324;;0,30;;1 089
6023 Hoffland;1507 Ålesund;905;;0,46;;1 972
6025 Ålesund i alt;;54 399;;28,53;;1 906
;1507 Ålesund;;45 517;;21,36;2 131
;1531 Sula;;8 882;;7,18;1 237
6026 Årset;1507 Ålesund;820;;0,56;;1 459
6027 Myklebost;1507 Ålesund;301;;0,37;;819
6031 Larsnes;1514 Sande;668;;0,60;;1 121
6032 Haugsbygda;1514 Sande;280;;0,33;;854
6042 Kvalsund;1515 Herøy (Møre og Romsdal);573;;0,56;;1 015
6043 Fosnavåg;1515 Herøy (Møre og Romsdal);3 561;;3,10;;1 149
6045 Leinstrand;1515 Herøy (Møre og Romsdal);563;;0,51;;1 110
6046 Moltustranda;1515 Herøy (Møre og Romsdal);445;;0,64;;699
6047 Tjørvåg;1515 Herøy (Møre og Romsdal);354;;0,38;;928
6049 Leikong;1515 Herøy (Møre og Romsdal);339;;0,37;;923
6050 Dragsund i alt;;389;;0,60;;653
;1515 Herøy (Møre og Romsdal);;382;;0,58;658
;1516 Ulstein;;7;;0,01;481
6051 Ulsteinsvik;1516 Ulstein;5 929;;3,92;;1 513
6053 Sundgot;1516 Ulstein;889;;0,74;;1 205
6061 Hjørungavåg;1517 Hareid;699;;0,77;;909
6063 Brandal;1517 Hareid;332;;0,32;;1 046
6064 Hareid;1517 Hareid;3 473;;2,62;;1 327
6071 Volda;1577 Volda;6 817;;3,75;;1 819
6072 Mork;1577 Volda;475;;0,52;;916
6081 Ørsta;1520 Ørsta;7 466;;5,76;;1 295
6082 Sætre;1520 Ørsta;398;;0,76;;524
6091 Sjøholt;1507 Ålesund;1 517;;1,45;;1 044
6111 Stranda;1525 Stranda;2 908;;2,41;;1 207
6112 Hellesylt;1525 Stranda;254;;0,42;;608
6121 Stordal;1578 Fjord;598;;0,75;;792
6131 Ikornnes;1528 Sykkylven;836;;0,98;;851
6132 Straumgjerde;1528 Sykkylven;439;;0,47;;928
6133 Sykkylven;1528 Sykkylven;4 332;;3,38;;1 282
6134 Hundeidvik;1528 Sykkylven;286;;0,39;;739
6141 Skodje;1507 Ålesund;2 538;;1,69;;1 504
6142 Valle;1507 Ålesund;637;;0,73;;871
6143 Stetteremma;1507 Ålesund;404;;0,31;;1 309
6165 Roald;1532 Giske;999;;0,74;;1 349
6166 Leitebakk;1532 Giske;957;;0,76;;1 265
6167 Giske;1532 Giske;796;;0,75;;1 068
6168 Nordstrand;1532 Giske;4 234;;2,62;;1 615
6171 Austnes;1507 Ålesund;375;;0,52;;726
6172 Brattvåg;1507 Ålesund;2 444;;1,74;;1 402
6173 Vatne;1507 Ålesund;2 429;;1,79;;1 357
6174 Søvik;1507 Ålesund;967;;0,84;;1 156
6181 Tomra;1535 Vestnes;1 113;;1,51;;735
6182 Vestnes;1535 Vestnes;2 443;;2,04;;1 199
6184 Fiksdal;1535 Vestnes;246;;0,30;;809
6185 Tresfjord;1535 Vestnes;220;;0,48;;454
6186 Vikebukt;1535 Vestnes;234;;0,49;;478
6191 Isfjorden;1539 Rauma;1 313;;1,14;;1 155
6192 Åndalsnes;1539 Rauma;2 414;;2,21;;1 091
6193 Brønnsletten;1539 Rauma;239;;0,17;;1 446
6194 Voll;1539 Rauma;507;;0,77;;658
6201 Eidsvåg;1506 Molde;953;;1,09;;877
6202 Rausand;1506 Molde;262;;0,50;;527
6211 Midsund;1506 Molde;601;;0,70;;861
6221 Steinshamn;1507 Ålesund;449;;0,59;;764
6231 Aukra;1547 Aukra;961;;1,17;;819
6232 Hollingen i alt;;1 118;;0,70;;1 593
;1547 Aukra;;696;;0,44;1 581
;1579 Hustadvika;;422;;0,26;1 615
6241 Elnesvågen;1579 Hustadvika;2 642;;2,13;;1 240
6242 Bud;1579 Hustadvika;800;;0,79;;1 014
6244 Tornes;1579 Hustadvika;559;;0,47;;1 181
6247 Farstad;1579 Hustadvika;258;;0,27;;944
6248 Malme;1579 Hustadvika;497;;0,40;;1 234
6249 Sylte;1579 Hustadvika;329;;0,23;;1 458
6251 Eide;1579 Hustadvika;1 428;;1,81;;790
6261 Storbakken;1505 Kristiansund;645;;0,45;;1 434
6264 Solsletta;1505 Kristiansund;719;;0,60;;1 201
6266 Rensvik;1505 Kristiansund;2 452;;1,65;;1 490
6271 Tingvollvågen;1560 Tingvoll;959;;1,20;;796
6281 Grøa;1563 Sunndal;402;;0,31;;1 301
6282 Hoelsand;1563 Sunndal;328;;0,20;;1 675
6283 Sunndalsøra;1563 Sunndal;3 930;;3,51;;1 120
6291 Skei-Surnadalsøra;1566 Surnadal;2 556;;2,67;;957
6292 Glærem;1566 Surnadal;252;;0,63;;399
6301 Rindal;5061 Rindal;686;;0,87;;791
6311 Aure;1576 Aure;629;;0,54;;1 168
6341 Fiskåbygd;1511 Vanylven;479;;0,69;;691
6351 Kårvåg;1554 Averøy;315;;0,34;;937
6352 Bremsnes;1554 Averøy;1 024;;1,45;;707
6354 Sveggen;1554 Averøy;289;;0,29;;990
6361 Batnfjordsøra;1557 Gjemnes;397;;0,38;;1 047
6362 Torvikbukt;1557 Gjemnes;250;;0,37;;684
6371 Liabø;5055 Heim;205;;0,33;;628
6501 Trondheim;5001 Trondheim;191 771;;58,61;;3 272
6502 Trolla;5001 Trondheim;581;;0,23;;2 517
6503 Spongdal;5001 Trondheim;531;;0,28;;1 925
6504 Ringvål;5001 Trondheim;460;;0,19;;2 373
6505 Langørjan;5001 Trondheim;565;;0,35;;1 609
6506 Bratsberg;5001 Trondheim;379;;0,26;;1 456
6507 Nypan;5001 Trondheim;870;;0,57;;1 532
6511 Kyrksæterøra;5055 Heim;2 526;;2,30;;1 099
6521 Fillan;5056 Hitra;1 193;;1,09;;1 091
6522 Hestvika;5056 Hitra;275;;0,36;;764
6531 Hammarvika;5014 Frøya;500;;0,58;;866
6532 Sistranda;5014 Frøya;1 154;;1,23;;936
6541 Uthaug;5057 Ørland;359;;0,36;;1 009
6542 Opphaug;5057 Ørland;382;;0,42;;902
6543 Brekstad;5057 Ørland;2 311;;2,29;;1 007
6544 Ottersbo;5057 Ørland;406;;0,29;;1 418
6551 Selbekken;5059 Orkland;425;;0,48;;879
6561 Råkvågen;5054 Indre Fosen;212;;0,37;;571
6562 Årnset;5054 Indre Fosen;1 193;;0,87;;1 376
6563 Askjem;5054 Indre Fosen;298;;0,39;;769
6565 Vangsåsen;5054 Indre Fosen;266;;0,18;;1 472
6571 Botngård;5057 Ørland;1 343;;1,22;;1 098
6572 Lysøysund;5057 Ørland;272;;0,35;;775
6573 Karlestrand;5057 Ørland;262;;0,19;;1 380
6581 Å i Åfjord;5058 Åfjord;1 281;;1,42;;904
6591 Oppdal;5021 Oppdal;4 355;;3,67;;1 187
6601 Berkåk;5022 Rennebu;950;;1,33;;712
6611 Løkken;5059 Orkland;1 254;;1,64;;764
6612 Storås;5059 Orkland;301;;0,41;;741
6613 Meldal;5059 Orkland;627;;0,79;;797
6621 Orkanger/Fannrem;5059 Orkland;8 674;;6,53;;1 328
6622 Svorkmo;5059 Orkland;302;;0,26;;1 182
6631 Røros;5025 Røros;3 796;;3,23;;1 176
6641 Støren;5027 Midtre Gauldal;2 387;;2,41;;990
6642 Soknedal;5027 Midtre Gauldal;288;;0,33;;867
6651 Melhus;5028 Melhus;6 838;;2,97;;2 303
6652 Kvål;5028 Melhus;433;;0,45;;962
6653 Ler;5028 Melhus;647;;0,45;;1 434
6654 Lundamo;5028 Melhus;1 095;;0,87;;1 262
6655 Hovin;5028 Melhus;789;;0,50;;1 588
6656 Korsvegen;5028 Melhus;610;;0,48;;1 274
6657 Storsand;5028 Melhus;484;;0,39;;1 252
6667 Eggkleiva;5029 Skaun;233;;0,18;;1 281
6668 Buvika/Ilhaugen;5029 Skaun;3 162;;1,47;;2 149
6669 Børsa;5029 Skaun;1 727;;1,11;;1 561
6670 Viggja;5029 Skaun;356;;0,22;;1 633
6671 Klæbu;5001 Trondheim;3 330;;1,51;;2 205
6672 Tanem;5001 Trondheim;1 312;;0,46;;2 848
6681 Malvik i alt;;7 077;;2,62;;2 699
;5031 Malvik;;6 364;;2,42;2 630
;5001 Trondheim;;713;;0,20;3 520
6682 Muruvik;5031 Malvik;462;;0,37;;1 242
6683 Hommelvik;5031 Malvik;5 740;;2,92;;1 964
6691 Mebonden;5032 Selbu;999;;1,12;;888
6692 Trøa;5032 Selbu;229;;0,23;;1 007
6731 Renbygda;5026 Holtålen;583;;0,83;;704
7001 Sparbu;5006 Steinkjer;605;;0,40;;1 520
7002 Mære;5006 Steinkjer;441;;0,36;;1 236
7003 Steinkjer;5006 Steinkjer;12 932;;8,09;;1 598
7006 Velde;5006 Steinkjer;423;;0,38;;1 120
7012 Bangsund;5007 Namsos - Nåavmesjenjaelmie;878;;0,66;;1 322
7013 Namsos;5007 Namsos - Nåavmesjenjaelmie;8 358;;4,61;;1 814
7014 Spillum;5007 Namsos - Nåavmesjenjaelmie;1 350;;1,70;;796
7021 Midtbygda;5034 Meråker;1 014;;1,42;;715
7031 Hegra;5035 Stjørdal;957;;0,66;;1 458
7033 Skatval;5035 Stjørdal;947;;0,58;;1 620
7034 Stjørdalshalsen;5035 Stjørdal;13 394;;7,48;;1 792
7035 Hell;5035 Stjørdal;1 580;;0,96;;1 647
7037 Prestmoen;5035 Stjørdal;362;;0,20;;1 833
7041 Leksvik;5054 Indre Fosen;1 119;;1,45;;774
7042 Vanvikan;5054 Indre Fosen;716;;0,57;;1 258
7051 Levanger;5037 Levanger;10 310;;5,30;;1 946
7052 Skogn;5037 Levanger;1 949;;1,12;;1 736
7053 Åsen;5037 Levanger;659;;0,56;;1 169
7057 Ekne;5037 Levanger;303;;0,23;;1 344
7058 Eidsbotn;5037 Levanger;209;;0,09;;2 370
7062 Trones;5038 Verdal;399;;0,20;;2 043
7064 Lysthaugen;5038 Verdal;305;;0,25;;1 217
7065 Vuku;5038 Verdal;216;;0,23;;921
7066 Forbregd/Lein;5038 Verdal;848;;0,41;;2 047
7068 Verdalsøra;5038 Verdal;8 451;;5,98;;1 413
7071 Malm;5006 Steinkjer;1 161;;1,33;;876
7072 Follafoss;5006 Steinkjer;383;;0,69;;552
7081 Namdalseid;5007 Namsos - Nåavmesjenjaelmie;340;;0,29;;1 163
7091 Hylla;5053 Inderøy;362;;0,30;;1 217
7092 RøraStasjon;5053 Inderøy;437;;0,47;;927
7093 Straumen;5053 Inderøy;1 504;;1,18;;1 272
7094 Gangstadhaugen;5053 Inderøy;225;;0,14;;1 630
7095 Småland;5053 Inderøy;285;;0,20;;1 421
7101 Snåsa;5041 Snåase - Snåsa;662;;0,83;;795
7111 Sandvika;5042 Lierne;222;;0,39;;566
7121 Røyrvik;5043 Raarvihke - Røyrvik;233;;0,38;;615
7132 Namsskogan sentrum;5044 Namsskogan;226;;0,29;;784
7142 Grong;5045 Grong;1 089;;1,13;;965
7151 Høylandet;5046 Høylandet;327;;0,43;;760
7161 Skage;5047 Overhalla;822;;0,58;;1 417
7162 Ranemsletta;5047 Overhalla;497;;0,45;;1 099
7163 Svalia;5047 Overhalla;286;;0,24;;1 198
7164 Skogmo;5047 Overhalla;267;;0,56;;479
7171 Lauvsnes;5049 Flatanger;499;;0,57;;873
7181 Rørvik;5060 Nærøysund;3 226;;1,97;;1 638
7192 Ottersøy;5060 Nærøysund;245;;0,32;;756
7194 Kolvereid;5060 Nærøysund;1 713;;1,28;;1 338
7211 Mosvik;5053 Inderøy;284;;0,44;;644
7501 Bodø;1804 Bodø;42 351;;14,84;;2 854
7502 Løding;1804 Bodø;3 143;;1,33;;2 372
7503 Løpsmarka;1804 Bodø;2 291;;0,66;;3 452
7511 Bjerkvik;1806 Narvik;1 131;;1,34;;845
7512 Narvik;1806 Narvik;14 015;;6,84;;2 050
7513 Beisfjord;1806 Narvik;678;;0,69;;977
7514 Håkvik;1806 Narvik;756;;0,58;;1 294
7521 Terråk;1811 Bindal;515;;0,61;;844
7531 Vik;1812 Sømna;357;;0,50;;718
7532 Berg i alt;;608;;0,65;;942
;1812 Sømna;;589;;0,62;949
;1813 Brønnøy;;19;;0,02;770
