5643 Skei;4647 Sunnfjord;495;;0,57;;875
5651 Førde;4647 Sunnfjord;10 495;;5,70;;1 843
5652 Farsund;4647 Sunnfjord;791;;0,38;;2 057
5661 Naustdal;4647 Sunnfjord;1 237;;0,76;;1 632
5671 Svelgen;4648 Bremanger;1 097;;1,02;;1 074
5672 Kalvåg;4648 Bremanger;418;;0,42;;996
5681 Raudeberg;4602 Kinn;569;;0,66;;856
5682 Måløy;4602 Kinn;3 303;;2,20;;1 502
5684 Holevik;4602 Kinn;299;;0,18;;1 633
5686 Bryggja;4649 Stad;342;;0,42;;818
5691 Selje;4649 Stad;695;;0,80;;867
5701 Nordfjordeid;4649 Stad;3 126;;2,53;;1 236
5702 Mogrenda;4649 Stad;367;;0,30;;1 222
5703 Torvika;4649 Stad;236;;0,25;;932
5711 Grodås;1577 Volda;480;;0,66;;729
5721 Sandane;4650 Gloppen;2 482;;2,42;;1 024
5722 Byrkjelo;4650 Gloppen;333;;0,51;;658
5723 Re;4650 Gloppen;374;;0,43;;868
5731 Stryn;4651 Stryn;2 646;;2,01;;1 318
5732 Innvik;4651 Stryn;429;;0,72;;593
5733 Olden;4651 Stryn;486;;0,59;;820
5734 Bergsida;4651 Stryn;246;;0,19;;1 329
5741 Hardbakke;4636 Solund;290;;0,28;;1 034
6001 Molde;1506 Molde;21 417;;9,27;;2 310
6002 Hjelset;1506 Molde;971;;1,01;;962
6003 Kleive;1506 Molde;442;;0,50;;892
6004 Hovdenakken;1506 Molde;318;;0,28;;1 141
6005 Nesjestranda;1506 Molde;540;;0,44;;1 216
6008 Torhaug;1506 Molde;251;;0,16;;1 565
6009 Hesthagen;1506 Molde;242;;0,10;;2 433
6011 Kristiansund;1505 Kristiansund;18 047;;8,41;;2 147
6012 Geitnes;1506 Molde;338;;0,30;;1 132
6023 Hoffland;1507 Ålesund;934;;0,46;;2 039
6025 Ålesund i alt;;54 983;;28,84;;1 906
;1507 Ålesund;;45 983;;21,64;2 125
;1531 Sula;;9 000;;7,20;1 250
6026 Årset;1507 Ålesund;818;;0,56;;1 456
6027 Myklebost;1507 Ålesund;317;;0,37;;859
6031 Larsnes;1514 Sande;649;;0,60;;1 089
6032 Haugsbygda;1514 Sande;297;;0,34;;872
6042 Kvalsund;1515 Herøy (Møre og Romsdal);587;;0,57;;1 039
6043 Fosnavåg;1515 Herøy (Møre og Romsdal);3 466;;3,11;;1 116
6044 Remøy;1515 Herøy (Møre og Romsdal);348;;0,42;;827
6045 Leinstrand;1515 Herøy (Møre og Romsdal);587;;0,51;;1 142
6046 Moltustranda;1515 Herøy (Møre og Romsdal);438;;0,64;;689
6049 Leikong;1515 Herøy (Møre og Romsdal);339;;0,38;;891
6050 Dragsund i alt;;386;;0,61;;638
;1515 Herøy (Møre og Romsdal);;379;;0,59;641
;1516 Ulstein;;7;;0,01;481
6051 Ulsteinsvik;1516 Ulstein;5 936;;3,92;;1 515
6053 Sundgot;1516 Ulstein;884;;0,74;;1 199
6061 Hjørungavåg;1517 Hareid;706;;0,78;;907
6063 Brandal;1517 Hareid;340;;0,32;;1 071
6064 Hareid;1517 Hareid;3 467;;2,62;;1 323
6071 Volda;1577 Volda;6 891;;3,76;;1 832
6072 Mork;1577 Volda;476;;0,52;;918
6081 Ørsta;1520 Ørsta;7 252;;5,61;;1 293
6082 Sætre;1520 Ørsta;396;;0,75;;526
6083 Sætrebakkane;1520 Ørsta;236;;0,14;;1 643
6091 Sjøholt;1507 Ålesund;1 547;;1,56;;990
6111 Stranda;1525 Stranda;2 898;;2,42;;1 199
6112 Hellesylt;1525 Stranda;255;;0,42;;610
6121 Stordal;1578 Fjord;583;;0,76;;772
6131 Ikornnes;1528 Sykkylven;846;;0,98;;861
6132 Straumgjerde;1528 Sykkylven;442;;0,47;;935
6133 Sykkylven;1528 Sykkylven;4 314;;3,39;;1 272
6141 Skodje;1507 Ålesund;2 491;;1,72;;1 447
6142 Valle;1507 Ålesund;677;;0,75;;898
6143 Stetteremma;1507 Ålesund;416;;0,31;;1 321
6165 Roald;1532 Giske;1 032;;0,74;;1 390
6166 Leitebakk;1532 Giske;971;;0,76;;1 283
6167 Giske;1532 Giske;806;;0,75;;1 073
6168 Nordstrand;1532 Giske;4 262;;2,62;;1 625
6171 Austnes;1507 Ålesund;377;;0,52;;724
6172 Brattvåg;1507 Ålesund;2 450;;1,74;;1 405
