Agder;Arendal;Høgsteinsheia;270,5
Agder;Birkenes;Storemyrknuten;530,78
Agder;Bygland;Reinshornheii;1161,46
Agder;Bykle;Sæbyggjenuten;1507,04
Agder;Evje og Hornnes;Midtstrandnuten;789,98
Agder;Farsund;Lyfjellet;486,6
Agder;Flekkefjord;Tomlongsheia;683,04
Agder;Froland;Befjell;658,23
Agder;Gjerstad;Solhomfjell øst;588,1
Agder;Grimstad;Dobbedalshei;360,74
Agder;Hægebostad;Oddevassheia;966,36
Agder;Iveland;Rubbeheia;558,5
Agder;Kristiansand;Havsåsen;414,25
Agder;Kvinesdal;Venehei;992,63
Agder;Lillesand;Hisåsen;234,74
Agder;Lindesnes;Ørteknappknuten;511,72
Agder;Lyngdal;Ørnemyrfjellet;578,11
Agder;Risør;Espehaugen;243,49
Agder;Sirdal;Urdalsknuten;1433,53
Agder;Tvedestrand;Ansmyrheia;262
Agder;Valle;Urdalsknuten;1433,53
Agder;Vegårshei;Hovdefjell;525,07
Agder;Vennesla;Oksla;500,37
Agder;Åmli;Trongedalsnuten;929,13
Agder;Åseral;Skoræ;1041,44
Innlandet;Alvdal;Storsølnkletten;1826,95
Innlandet;Dovre;Snøhetta;2286,12
Innlandet;Eidskog;Hornkjølberget;433,83
Innlandet;Elverum;Raskiftet;807
Innlandet;Engerdal;Elgåhogna;1459,78
Innlandet;Etnedal;Spåtind;1414,55
Innlandet;Folldal;Rondslottet;2178,17
Innlandet;Gausdal;Nordre Langsua;1552,17
Innlandet;Gjøvik;Ringsrudåsen;837,2
Innlandet;Gran;Lushaugen;812,17
Innlandet;Grue;Kaketjennsberget;583,5
Innlandet;Hamar;Kroksjøhøgda;931,5
Innlandet;Kongsvinger;Rafjellet;575,87
Innlandet;Lesja;Storstyggesvånåtinden;2209
Innlandet;Lillehammer;Nevelfjell;1091,5
Innlandet;Lom;Galdhøpiggen;2468,82
Innlandet;Løten;Gitvola;851,88
Innlandet;Nord-Aurdal;Djuptjernkampen;1325,04
Innlandet;Nord-Fron;Heimdalshøe;1842,89
Innlandet;Nord-Odal;Årkjølen;641,52
Innlandet;Nordre Land;Spåtind;1414,55
Innlandet;Os;Nordre Sålekinna;1595
Innlandet;Rendalen;Midtre Sølen;1754,8
Innlandet;Ringebu;Muen;1423,94
Innlandet;Ringsaker;Tua;1090,5
Innlandet;Sel;Storronden;2138
Innlandet;Skjåk;Nørdre Hestbreapiggen;2172,14
Innlandet;Stange;Søndre Fjellsjøhøgda;642,3
Innlandet;Stor-Elvdal;Gravskardhøgda;1766,57
Innlandet;Søndre Land;Vesle Skjellingshovde;860,5
Innlandet;Sør-Aurdal;Ørneflag;1242,81
Innlandet;Sør-Fron;Blåkollen;1579,85
