trysling;3421
trænværing;1835
tydaling;5033
tynseting;3427
tysnesing;4616
tysværbu;1146
tønsbergensar/-er;3803
ullsokning;3033
ulsteining;1516
ulviking;4620
ulvikje;4620
uvdøl;3052
vadsøværing;5405
vagvær;3435
vaksdaling;4628
vaksdøl;4628
valldøl;4221
vangsgjelding;3454
vanylving;1511
varangværing;5444
vardøværing;5404
vefsning;1824
vefsnværing;1824
vegværing;1815
vegårsheiing;4212
venndøl;4223
verdaling;5038
vesser;4621
vestbysokning;3019
vestnesing;1535
vestreslidring;3452
vestretotning;3443
vevelstadværing;1816
vikja;4639
vikje;4639
vinbygg;3825
vinbygge;3825
vinbyggje;3825
volding;1577
voss;4621
vosse;4621
vossing;4621
værøyværing;1857
vågaværing;1865
vål(er)sokning;3419
vålersokning;3018
vårøyværing;5404
ørlending;5057
ørsting;1520
østretotning;3442
øygarding;4626
øystreslidring;3453
øyværing;3440
åfjording;5058
ålesundar/-er;1507
ålesunding;1507
åling;3043
åmling;4217
åmoting;3422
årdøl;4643
åsdøl;4224
åsnessokning;3418
åssokning;3021
